Generated 1023 waypoints.

[371] x=118.98, y=236.92, z=0.00, yaw=-179.97
[372] x=118.98, y=240.92, z=0.00, yaw=0.03
[373] x=115.98, y=236.91, z=0.00, yaw=-179.97
[374] x=115.98, y=240.91, z=0.00, yaw=0.03
[375] x=112.98, y=236.91, z=0.00, yaw=-179.97
[376] x=112.98, y=240.91, z=0.00, yaw=0.03
[377] x=109.98, y=236.91, z=0.00, yaw=-179.97
[378] x=109.98, y=240.91, z=0.00, yaw=0.03
[379] x=106.98, y=236.91, z=0.00, yaw=-179.97
[380] x=106.98, y=240.91, z=0.00, yaw=0.03
[381] x=103.98, y=236.91, z=0.00, yaw=-179.97
[382] x=103.98, y=240.91, z=0.00, yaw=0.03
[383] x=100.98, y=236.90, z=0.00, yaw=-179.97
[384] x=100.98, y=240.90, z=0.00, yaw=0.03
[385] x=97.98, y=236.90, z=0.00, yaw=-179.97
[386] x=97.98, y=240.90, z=0.00, yaw=0.03
[387] x=94.98, y=236.90, z=0.00, yaw=-179.97
[388] x=94.98, y=240.90, z=0.00, yaw=0.03
[389] x=91.98, y=236.90, z=0.00, yaw=-179.97
[390] x=91.98, y=240.90, z=0.00, yaw=0.03
[391] x=88.98, y=236.90, z=0.00, yaw=-179.97
[392] x=88.98, y=240.90, z=0.00, yaw=0.03
[393] x=85.98, y=236.90, z=0.00, yaw=-179.97
[394] x=85.98, y=240.90, z=0.00, yaw=0.03
[395] x=82.98, y=236.89, z=0.00, yaw=-179.97
[396] x=82.98, y=240.89, z=0.00, yaw=0.03
[397] x=79.98, y=236.89, z=0.00, yaw=-179.97
[398] x=79.98, y=240.89, z=0.00, yaw=0.03
[399] x=76.98, y=236.89, z=0.00, yaw=-179.97
[400] x=76.98, y=240.89, z=0.00, yaw=0.03
[401] x=73.98, y=236.89, z=0.00, yaw=-179.97
[402] x=73.98, y=240.89, z=0.00, yaw=0.03
[403] x=70.98, y=236.89, z=0.00, yaw=-179.97
[404] x=70.98, y=240.89, z=0.00, yaw=0.03
[405] x=67.98, y=236.88, z=0.00, yaw=-179.97
[406] x=67.98, y=240.88, z=0.00, yaw=0.03
[407] x=64.98, y=236.88, z=0.00, yaw=-179.97
[408] x=64.98, y=240.88, z=0.00, yaw=0.03
[409] x=61.98, y=236.88, z=0.00, yaw=-179.97
[410] x=61.98, y=240.88, z=0.00, yaw=0.03
[411] x=58.98, y=236.88, z=0.00, yaw=-179.97
[412] x=58.98, y=240.88, z=0.00, yaw=0.03
[413] x=55.98, y=236.88, z=0.00, yaw=-179.97
[414] x=55.98, y=240.88, z=0.00, yaw=0.03
[415] x=181.50, y=105.42, z=0.00, yaw=179.96
[416] x=181.50, y=109.42, z=0.00, yaw=359.96
[417] x=178.50, y=105.42, z=0.00, yaw=179.96
[418] x=178.50, y=109.42, z=0.00, yaw=359.96
[419] x=175.50, y=105.42, z=0.00, yaw=179.96
[420] x=175.50, y=109.42, z=0.00, yaw=359.96
[421] x=172.50, y=105.43, z=0.00, yaw=179.96
[422] x=172.50, y=109.43, z=0.00, yaw=359.96
[423] x=169.50, y=105.43, z=0.00, yaw=179.96
[424] x=169.50, y=109.43, z=0.00, yaw=359.96
[425] x=166.50, y=105.43, z=0.00, yaw=179.96
[426] x=166.50, y=109.43, z=0.00, yaw=359.96
[427] x=163.50, y=105.43, z=0.00, yaw=179.96
[428] x=163.50, y=109.43, z=0.00, yaw=359.96
[429] x=160.50, y=105.43, z=0.00, yaw=179.96
[430] x=160.50, y=109.43, z=0.00, yaw=359.96
[431] x=157.50, y=105.44, z=0.00, yaw=179.96
[432] x=157.50, y=109.44, z=0.00, yaw=359.96
[433] x=154.50, y=105.44, z=0.00, yaw=179.96
[434] x=154.50, y=109.44, z=0.00, yaw=359.96
[435] x=151.50, y=105.44, z=0.00, yaw=179.96
[436] x=151.50, y=109.44, z=0.00, yaw=359.96
[437] x=148.50, y=105.44, z=0.00, yaw=179.96
[438] x=148.50, y=109.44, z=0.00, yaw=359.96
[439] x=145.50, y=105.44, z=0.00, yaw=179.96
[440] x=145.50, y=109.44, z=0.00, yaw=359.96
[441] x=142.50, y=105.45, z=0.00, yaw=179.96
[442] x=142.50, y=109.45, z=0.00, yaw=359.96
[443] x=139.50, y=105.45, z=0.00, yaw=179.96
[444] x=139.50, y=109.45, z=0.00, yaw=359.96
[445] x=136.50, y=105.45, z=0.00, yaw=-179.96
[446] x=136.50, y=109.45, z=0.00, yaw=0.04
[447] x=133.50, y=105.45, z=0.00, yaw=-179.96
[448] x=133.50, y=109.45, z=0.00, yaw=0.04
[449] x=130.50, y=105.45, z=0.00, yaw=-179.96
[450] x=130.50, y=109.45, z=0.00, yaw=0.04
[451] x=127.50, y=105.44, z=0.00, yaw=-179.96
[452] x=127.50, y=109.44, z=0.00, yaw=0.04
[453] x=124.50, y=105.44, z=0.00, yaw=-179.96
[454] x=124.50, y=109.44, z=0.00, yaw=0.04
[455] x=121.50, y=105.44, z=0.00, yaw=-179.96
[456] x=121.50, y=109.44, z=0.00, yaw=0.04
[457] x=118.50, y=105.44, z=0.00, yaw=-179.96
[458] x=118.50, y=109.44, z=0.00, yaw=0.04
[459] x=115.50, y=105.44, z=0.00, yaw=-179.96
[460] x=115.50, y=109.44, z=0.00, yaw=0.04
[461] x=112.50, y=105.43, z=0.00, yaw=-179.96
[462] x=112.50, y=109.43, z=0.00, yaw=0.04
[463] x=109.50, y=105.43, z=0.00, yaw=-179.96
[464] x=109.50, y=109.43, z=0.00, yaw=0.04
[465] x=106.50, y=105.43, z=0.00, yaw=-179.96
[466] x=106.50, y=109.43, z=0.00, yaw=0.04
[467] x=103.50, y=105.43, z=0.00, yaw=-179.96
[468] x=103.50, y=109.43, z=0.00, yaw=0.04
[469] x=100.50, y=105.42, z=0.00, yaw=-179.96
